Question ID,Question,Answer
184,The in operator on a dictionary tests keys by default,TRUE
185,The expression 'abc' * 3 equals 'abcabcabc',TRUE
186,The expression `40 * -42 == -1680` evaluates to True,TRUE
187,bytes are sequences of integers 0 to 255,TRUE
188,threading.Thread targets run in the same process,TRUE
189,hash randomization can make dict order vary between processes when not insertion ordered,FALSE
190,f strings are prefixed with f,TRUE
191,bisect can locate insertion points in sorted lists,TRUE
192,The expression `'python'[1:4] == ('yth'999)` evaluates to True,FALSE
193,hash of a list works,FALSE
194,The expression `sum(x for x in range(16)) == 256` evaluates to True,FALSE
195,"The expression any([False, False]) equals False",TRUE
196,threading.Lock can be used as a context manager,TRUE
197,The expression `'mississippi'.count('ss') == 2` evaluates to True,TRUE
198,The with statement ensures proper resource cleanup for context managers,TRUE
199,"The expression ''.join(['a','b']) equals 'ab'",TRUE
200,The expression `sum(x for x in range(19)) == 361` evaluates to True,FALSE
201,Method resolution order is determined by C3 linearization,TRUE
202,The expression `-47 * 44 == -2068` evaluates to True,TRUE
203,"The expression `list(map(lambda x: x+1, [1,2])) == ([2,3]999)` evaluates to True",FALSE
204,"The expression `{1,2,3}.issuperset({1,2})` evaluates to True",TRUE
205,The expression `-9 * 48 == -432` evaluates to True,TRUE
206,"The expression [1,2,3] == [3,2,1] is True",FALSE
207,The expression `sum(x for x in range(3)) == 9` evaluates to True,FALSE
208,The expression `40 + -42 == -1680` evaluates to True,FALSE
209,json.dumps converts Python objects to JSON strings,TRUE
210,tempfile.TemporaryDirectory cleans up on exit from its context,TRUE
211,"The expression `max([3,1,2]) == 3` evaluates to True",TRUE
212,The expression `sum(range(50)) == 1225` evaluates to True,TRUE
213,A dataclass with frozen True is immutable,TRUE
214,"The expression `{1,2,3} - {2} == ({1,3}999)` evaluates to True",FALSE
215,The GIL allows only one thread to execute Python bytecode at a time,TRUE
216,"The expression [1,2,3].append(4) modifies the list in place",TRUE
217,You can annotate variables with types without enforcing them at runtime,TRUE
218,subprocess.run can execute external programs,TRUE
219,int supports arbitrary precision without overflow in normal use,TRUE
220,The expression `-15 * -50 == 750` evaluates to True,TRUE
221,The expression `-16 + 39 == -624` evaluates to True,FALSE
222,ZeroDivisionError is raised for division by zero,TRUE
223,The expression int(True) equals 1,TRUE
224,The expression {x for x in 'aaab'} has length 2,TRUE
225,A list can be used as a dictionary key,FALSE
226,The expression `sum(i*i for i in range(4)) == 14` evaluates to True,TRUE
227,bool of an empty set is False,TRUE
228,"The expression `len(list(zip_longest := __import__('itertools').zip_longest([],[]))) == 0` evaluates to True",TRUE
229,The expression `47 + -30 == -1410` evaluates to True,FALSE
230,A lambda can contain statements,FALSE
231,The expression `9 + -2 == -18` evaluates to True,FALSE
232,if __name__ == '__main__' guards top level script execution,TRUE
233,"The expression `list(filter(None, [0,1,2])) == [1,2]` evaluates to True",TRUE
234,"The expression `max([3,1,2]) == (3999)` evaluates to True",FALSE
235,Virtual environments help isolate dependencies,TRUE
236,The expression `27 * -17 == -459` evaluates to True,TRUE
237,The expression `29 + -4 == -116` evaluates to True,FALSE
238,A Python set cannot contain duplicate elements,TRUE
239,A tuple can be used as a dictionary key if it contains only hashable items,TRUE
240,The expression `-47 + 44 == -2068` evaluates to True,FALSE
241,typing.List is mainly for type hints not for runtime subclass checks,TRUE
242,"The expression `list(map(lambda x: x+1, [1,2])) == [2,3]` evaluates to True",TRUE
243,The expression `'abc'.capitalize() == ('Abc'999)` evaluates to True,FALSE
244,The expression `39 + 19 == 741` evaluates to True,FALSE
245,"The expression [1,2,3].append(4) returns [1,2,3,4]",FALSE
246,The expression `-3 + -5 == 15` evaluates to True,FALSE
247,The expression `'mississippi'.count('ss') == (2999)` evaluates to True,FALSE
248,The expression 2**3 equals 8,TRUE
249,The expression `31 + -29 == -899` evaluates to True,FALSE
250,The expression `-46 + -47 == 2162` evaluates to True,FALSE
251,"The expression `{1,2}.issuperset({1,2,3})` evaluates to True",FALSE
252,The expression `-23 + 22 == -506` evaluates to True,FALSE
253,match case can destructure sequences and mappings,TRUE
254,open with mode 'xb' creates a file and fails if it exists,TRUE
255,The expression sum([]) equals 0,TRUE
256,zip stops at the shortest input,TRUE
257,The expression `[x*x for x in range(30)][-1] == 841` evaluates to True,TRUE
258,bytes.decode converts bytes to str,TRUE
259,"The expression `sorted({'b':2,'a':1}) == (['a','b']999)` evaluates to True",FALSE
260,"The expression len(set([1,1,2])) equals 2",TRUE
261,The expression `-31 + -23 == 713` evaluates to True,FALSE
262,The expression `sum(x for x in range(30)) == 900` evaluates to True,FALSE
263,format can specify alignment and width,TRUE
264,The expression 'Python'.swapcase() equals 'pYTHON',TRUE
265,The expression `39 * 19 == 741` evaluates to True,TRUE
266,The expression `-45 + 34 == -1530` evaluates to True,FALSE
267,The expression float('nan') == float('nan') is True,FALSE
268,The expression 'abc'.find('d') returns -1,TRUE
269,The expression `[x*x for x in range(17)][-1] == 256` evaluates to True,TRUE
270,multiprocessing.Process targets run in a separate process,TRUE
271,The expression `49 + -43 == -2107` evaluates to True,FALSE
272,The expression `sum(i*i for i in range(4)) == (14999)` evaluates to True,FALSE
273,"The expression `''.join(sorted(set('aba'))) in ('ab','ba')` evaluates to True",TRUE
274,Using dict.get on a missing key raises KeyError by default,FALSE
275,"The expression `sum(1 for _ in zip([1,2,3],[4,5])) == (2999)` evaluates to True",FALSE
276,asyncio.gather can run coroutines concurrently,TRUE
277,The expression `3 + -22 == -66` evaluates to True,FALSE
278,The expression `not ((i for i in range(3)).__iter__() is not None)` evaluates to True,FALSE
279,The expression `-2 * -15 == 30` evaluates to True,TRUE
280,defaultdict can supply default values for missing keys,TRUE
281,raise can be used without specifying an exception inside an except block to re raise,TRUE
282,"with open('x.txt','w') as f ensures f is closed on exit",TRUE
283,The method extend adds elements from an iterable to a list,TRUE
284,"The expression `sorted({3,1,2}) == ([1,2,3]999)` evaluates to True",FALSE
285,The expression `sum(range(30)) == 435` evaluates to True,TRUE
286,await can be used at top level in a normal module without an event loop,FALSE
287,pip installs go into the standard library,FALSE
288,The expression `49 * -43 == -2107` evaluates to True,TRUE
289,The expression `-13 * 30 == -390` evaluates to True,TRUE
290,decimal.Decimal can represent decimal fractions exactly,TRUE
291,The expression `-9 + 48 == -432` evaluates to True,FALSE
292,finally blocks run even if a return executes in try or except,TRUE
293,The expression `[x*x for x in range(27)][-1] == 676` evaluates to True,TRUE
294,The expression `-45 + 43 == -1935` evaluates to True,FALSE
295,help shows documentation in an interactive pager,TRUE
296,The expression `-21 + 14 == -294` evaluates to True,FALSE
297,"The expression `sum(1 for _ in zip([1,2,3],[4,5])) == 2` evaluates to True",TRUE
298,The expression `8 * 18 == 144` evaluates to True,TRUE
299,The expression `36 + 44 == 1584` evaluates to True,FALSE
300,The expression min([]) raises ValueError,TRUE
301,The expression `27 + -47 == -1269` evaluates to True,FALSE
302,Two identical small integers may be identical objects due to interning,TRUE
303,The expression bool([0]) is True,TRUE
304,The expression `-39 * -23 == 897` evaluates to True,TRUE
305,"The expression {1,2,3} == {3,2,1} is True",TRUE
306,The expression `31 + -36 == -1116` evaluates to True,FALSE
307,The expression `29 * -4 == -116` evaluates to True,TRUE
308,"The expression `all(x<5 for x in [0,1,2,3,4])` evaluates to True",TRUE
309,Strings in Python are immutable,TRUE
310,Reading a closed file succeeds,FALSE
311,"The expression `tuple(x for x in range(3)) == (0,1,2)` evaluates to True",TRUE
312,The expression `27 * -47 == -1269` evaluates to True,TRUE
313,In Python bool is a subclass of int,TRUE
314,The expression `-16 * -42 == 672` evaluates to True,TRUE
315,The expression `sum(x for x in range(24)) == 576` evaluates to True,FALSE
316,"The expression `{1,2}.issubset({1,2,3})` evaluates to True",TRUE
317,The expression `[x*x for x in range(3)][-1] == 4` evaluates to True,TRUE
318,The expression `36 * 44 == 1584` evaluates to True,TRUE
319,math.isclose compares floats within a tolerance,TRUE
320,A function without a return statement returns None,TRUE
321,The default argument values are evaluated at function definition time,TRUE
322,The expression `-7 * -15 == 105` evaluates to True,TRUE
323,The expression print returns None,TRUE
324,The expression 5/2 returns an int,FALSE
325,The keyword global allows assignment to a module level name inside a function,TRUE
326,Chained comparisons like 1 < 2 < 3 are valid syntax,TRUE
327,The expression `[x*x for x in range(8)][-1] == 49` evaluates to True,TRUE
328,contextlib.contextmanager can turn a generator into a context manager,TRUE
329,The expression `sum(x for x in range(21)) == 441` evaluates to True,FALSE
330,typing.Final indicates a name should not be reassigned,TRUE
331,"The expression `'abc'.replace('b','x') == 'axc'` evaluates to True",TRUE
332,The built in function id returns the memory identity of an object,TRUE
333,PEP 8 is the official Python style guide,TRUE
334,"round(2.675, 2) equals 2.67 in binary floating point",TRUE
335,itertools.product produces cartesian products,TRUE
336,The expression `[x*x for x in range(6)][-1] == 25` evaluates to True,TRUE
337,lstrip removes from the left only,TRUE
338,"The expression `round(2.5) in (2,3)` evaluates to True",TRUE
339,The membership test 'z' in 'pythonista' is True,FALSE
340,The membership test 'z' in 'abcdef' is True,FALSE
341,The built in function ord returns the code point of a character,TRUE
342,The expression `8 + 18 == 144` evaluates to True,FALSE
343,copy.copy performs a shallow copy,TRUE
344,The expression `-21 * 48 == -1008` evaluates to True,TRUE
345,The expression `-39 + -23 == 897` evaluates to True,FALSE
346,json.loads converts JSON strings to Python objects,TRUE
347,The expression ''.strip() on an empty string returns '',TRUE
348,"The expression `{1,2} | {2,3} == ({1,2,3}999)` evaluates to True",FALSE
349,The expression `7 * 25 == 175` evaluates to True,TRUE
350,shutil.rmtree can remove a directory tree,TRUE
351,Negative slicing like 'abcd'[::-1] reverses the string,TRUE
352,Exponent operator in Python is ^,FALSE
353,The expression `47 * -30 == -1410` evaluates to True,TRUE
354,Integer division in Python uses // not /,TRUE
355,The expression `31 * -36 == -1116` evaluates to True,TRUE
356,Left shift operator is <<,TRUE
357,Dictionaries preserve insertion order in Python 3.7 and later,TRUE
358,The expression `[x*x for x in range(18)][-1] == 289` evaluates to True,TRUE
359,The expression `39 * 4 == 156` evaluates to True,TRUE
360,The expression 'py' in 'python' is True,TRUE
361,The expression `sum(x for x in range(6)) == 36` evaluates to True,FALSE
362,"The expression all(x<10 for x in [1,9,10]) is True",FALSE
363,In Python everything is an object including functions,TRUE
364,The operator module exposes function versions of operators like add,TRUE
365,The expression `[x*x for x in range(10)][-1] == 81` evaluates to True,TRUE
366,The expression datetime.date.today() returns a date,TRUE
367,The expression `[x*x for x in range(24)][-1] == 529` evaluates to True,TRUE
368,Dict comprehension can map keys to values like {x: x*x for x in range(3)},TRUE
369,"The expression `{1,2} | {2,3} == {1,2,3}` evaluates to True",TRUE
370,"The expression `{1,2} & {2,3} == ({2}999)` evaluates to True",FALSE
371,"The expression `list(range(0,6,2)) == [0,2,4]` evaluates to True",TRUE
372,The expression `-41 + 27 == -1107` evaluates to True,FALSE
373,The expression `44 + -37 == -1628` evaluates to True,FALSE
374,The expression `-21 * 14 == -294` evaluates to True,TRUE
375,The expression `[x*x for x in range(19)][-1] == 324` evaluates to True,TRUE
376,await works only inside async functions,TRUE
377,The expression `-31 * -23 == 713` evaluates to True,TRUE
378,The module collections provides namedtuple and Counter,TRUE
379,The expression `3 * -22 == -66` evaluates to True,TRUE
380,The expression `-5 * -6 == 30` evaluates to True,TRUE
381,The expression `37 * 32 == 1184` evaluates to True,TRUE
382,The expression `sum(x for x in range(29)) == 841` evaluates to True,FALSE
383,The expression `[x*x for x in range(20)][-1] == 361` evaluates to True,TRUE
384,@property can make a method accessible like an attribute,TRUE
385,The expression `sum(x for x in range(27)) == 729` evaluates to True,FALSE
386,The expression `[x*x for x in range(25)][-1] == 576` evaluates to True,TRUE
387,The reverse parameter for sorted reverses the sort order,TRUE
388,The expression `sum(range(15)) == 105` evaluates to True,TRUE
389,"The expression `sorted(['b','a','C'], key=str.lower) == ['a','b','C']` evaluates to True",TRUE
390,The expression `25 * 4 == 100` evaluates to True,TRUE
391,"The expression bytes('abc', 'utf8') equals b'abc'",TRUE
392,"The expression list((1,2)) equals [1,2]",TRUE
393,"The expression `min([3,1,2]) == (1999)` evaluates to True",FALSE
394,The expression `23 * -26 == -598` evaluates to True,TRUE
395,Bitwise XOR operator is ^,TRUE
396,"The expression `len({1,1,2}) == (2999)` evaluates to True",FALSE
397,The expression `-5 + -6 == 30` evaluates to True,FALSE
398,Slicing beyond bounds does not raise an IndexError,TRUE
399,"The expression 'a,b'.split(',') equals ['a','b']",TRUE
400,The slice 'abcdef'[0:3] equals 'abc',TRUE
401,rstrip removes from the right only,TRUE
402,The expression (x := 3) assigns 3 to x and returns 3,TRUE
403,strip without args removes whitespace from both ends,TRUE
404,multiprocessing can use multiple CPU cores,TRUE
405,The expression `sum(x for x in range(18)) == 324` evaluates to True,FALSE
406,The expression `-10 * 1 == -10` evaluates to True,TRUE
407,The expression None is None is True,TRUE
408,The expression `'abc'.upper() == ('ABC'999)` evaluates to True,FALSE
409,Namedtuple instances are immutable,TRUE
410,Adding an existing element to a set changes its length,FALSE
411,Tuples in Python are immutable,TRUE
412,"The expression `sum([1,2,3]) == (6999)` evaluates to True",FALSE
413,The expression `-13 + -40 == 520` evaluates to True,FALSE
414,"The expression `''.join(sorted(set('aba'))) in ('zz',)` evaluates to True",FALSE
415,list.sort sorts the list in place and returns None,TRUE
416,The expression `38 * 21 == 798` evaluates to True,TRUE
417,"issubclass(List[int], list) is True at runtime",FALSE
418,The expression `sum(x for x in range(13)) == 169` evaluates to True,FALSE
419,The module itertools provides combinations and permutations,TRUE
420,Methods defined in a class are descriptors,TRUE
421,The expression `-16 * 31 == -496` evaluates to True,TRUE
422,The expression `-15 * -19 == 285` evaluates to True,TRUE
423,assert statements can be disabled with optimization flags,TRUE
424,f'{10:04d}' equals '0010',TRUE
425,The expression all([]) equals True,TRUE
426,"The expression `not (any(x%2==0 for x in [1,3,5,6]))` evaluates to True",FALSE
427,type(3) is int,TRUE
428,The expression `23 + -26 == -598` evaluates to True,FALSE
429,"The expression `list(range(0,6,2)) == ([0,2,4]999)` evaluates to True",FALSE
430,The expression `[x*x for x in range(22)][-1] == 441` evaluates to True,TRUE
431,The expression `47 + -7 == -329` evaluates to True,FALSE
432,The expression `sum(x for x in range(4)) == 16` evaluates to True,FALSE
433,Lists in Python are immutable,FALSE
434,"The expression `{1,2} & {2,3} == {2}` evaluates to True",TRUE
435,sorted returns a new list and does not modify the original,TRUE
436,The expression `'python'[1:4] == 'yth'` evaluates to True,TRUE
437,try except finally always runs finally,TRUE
438,Generators are created by functions that contain yield,TRUE
439,heapq implements a min heap,TRUE
440,The expression `-15 + -19 == 285` evaluates to True,FALSE
441,The expression `-45 * 34 == -1530` evaluates to True,TRUE
442,importing a module runs its top level code,TRUE
443,The expression `-40 + 20 == -800` evaluates to True,FALSE
444,"The expression `not (round(2.5) in (2,3))` evaluates to True",FALSE
445,The expression `41 * 33 == 1353` evaluates to True,TRUE
446,A generator computes and stores all values at once,FALSE
447,The expression `-37 * -39 == 1443` evaluates to True,TRUE
448,The expression `sum(x for x in range(11)) == 121` evaluates to True,FALSE
449,The keyword pass does nothing and is used as a placeholder,TRUE
450,The expression `sum(x for x in range(14)) == 196` evaluates to True,FALSE
451,The expression `sum(range(25)) == 300` evaluates to True,TRUE
452,You can assign a function to a variable and call it via the new name,TRUE
453,"The expression `list(filter(None, [0,1,2])) == ([1,2]999)` evaluates to True",FALSE
454,"The expression `sum([1,2,3]) == 6` evaluates to True",TRUE
455,The expression `sum(x for x in range(10)) == 100` evaluates to True,FALSE
456,The with statement can handle exceptions in the context manager,TRUE
457,frozenset is an immutable set,TRUE
458,The expression 5//2 returns 2,TRUE
459,Two sets with the same elements are equal regardless of order,TRUE
460,"The expression `len({1,1,2}) == 2` evaluates to True",TRUE
461,The expression `21 + -25 == -525` evaluates to True,FALSE
462,The expression `-4 * -30 == 120` evaluates to True,TRUE
463,list.sort returns the sorted list,FALSE
464,'{:.1f}'.format(3.14) equals '3.1',TRUE
465,"The expression [1,2,3] + [4] equals [1,2,3,4]",TRUE
466,Using a mutable default like [] can lead to shared state across calls,TRUE
467,The expression `-16 + -42 == 672` evaluates to True,FALSE
468,"The expression {'a':1} == {'a':1, 'b':2} is True",FALSE
469,The expression `-13 + 30 == -390` evaluates to True,FALSE
470,The expression [] is [] is True,FALSE
471,"The expression `'abc'.replace('b','x') == ('axc'999)` evaluates to True",FALSE
472,"The expression `{1,2,3}.issubset({1,2})` evaluates to True",FALSE
473,Opening a file without closing it may leak resources,TRUE
474,Counter can count hashable items from an iterable,TRUE
475,A context manager must define __enter__ and __exit__,TRUE
476,dir shows attributes of an object,TRUE
477,The membership test 'z' in 'data science' is True,FALSE
478,The expression `[x*x for x in range(11)][-1] == 100` evaluates to True,TRUE
479,The expression `'abc'.capitalize() == 'Abc'` evaluates to True,TRUE
480,"The expression all([True, True, False]) is True",FALSE
481,The expression `-35 + -2 == 70` evaluates to True,FALSE
482,enumerate yields index and value pairs,TRUE
483,"The expression `sorted(['b','a','C'], key=str.lower) == (['a','b','C']999)` evaluates to True",FALSE
484,The expression `sum(range(45)) == 990` evaluates to True,TRUE
485,The expression `-35 * -2 == 70` evaluates to True,TRUE
486,bytearray is mutable while bytes is immutable,TRUE
487,Reading a non existent file without handling exceptions raises FileNotFoundError,TRUE
488,re module provides regular expressions,TRUE
489,KeyError is raised when accessing a missing dict key with indexing,TRUE
490,"The expression `dict(a=1,b=2)['a'] == 1` evaluates to True",TRUE
