Question ID,Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
32,What does functools.lru_cache do,Caches function results keyed by arguments to avoid recomputation,Converts a function into a generator,Stores results only for keyword arguments,Validates argument types at runtime,Parallelizes the function across threads,Caches function results keyed by arguments to avoid recomputation,lru_cache remembers results for argument combinations so repeats are instant.
33,What is the output of print(sum(i*i for i in range(7))),Error,49,None of the above,36,91,91,91 is correct based on how this feature behaves in Python.
34,What is the output of print(sum(i*i for i in range(5))),25,None of the above,16,Error,30,30,Squares 0 1 4 9 16 add up to 30.
35,What is the value of s=pythonista then print(s[3:7]),honista,honi,None of the above,honis,pythoni,honi,honi is correct based on how this feature behaves in Python.
36,What is the output of print(sum(i*i for i in range(7))),91,Error,None of the above,21,36,91,91 is correct based on how this feature behaves in Python.
37,What is the value of s=pythonista then print(s[2:5]),pytho,tho,None of the above,ho,thonista,tho,tho is correct based on how this feature behaves in Python.
38,What is the output of print(sum(i*i for i in range(7))),49,None of the above,91,Error,21,91,91 is correct based on how this feature behaves in Python.
39,What is printed by print(any([])),None of the above,0,FALSE,TRUE,Error,FALSE,any of an empty iterable is False as there is no truthy element.
40,What is the output of print(sum(i*i for i in range(3))),3,9,Error,None of the above,5,5,5 is correct based on how this feature behaves in Python.
41,What is the value of s=pythonista then print(s[0:3]),None of the above,pyt,pythonista,yt,pyth,pyt,pyt is correct based on how this feature behaves in Python.
42,What is the output of print(sum(i*i for i in range(5))),30,16,Error,25,None of the above,30,Squares 0 1 4 9 16 add up to 30.
43,What is the value of s=pythonista then print(s[0:3]),pyt,None of the above,pyth,pythonista,yt,pyt,pyt is correct based on how this feature behaves in Python.
44,What is the output of print(sum(i*i for i in range(6))),25,15,36,None of the above,55,55,55 is correct based on how this feature behaves in Python.
45,What is the value of s=pythonista then print(s[0:5]),pytho,pythonista,python,ytho,None of the above,pytho,pytho is correct based on how this feature behaves in Python.
46,What is the output of print(sum(i*i for i in range(6))),15,Error,55,None of the above,36,55,55 is correct based on how this feature behaves in Python.
47,What is the value of s=pythonista then print(s[1:6]),ythoni,ython,None of the above,thon,ythonista,ython,ython is correct based on how this feature behaves in Python.
48,What is the value of s=pythonista then print(s[3:7]),honis,None of the above,honi,pythoni,oni,honi,honi is correct based on how this feature behaves in Python.
49,What is the result of print(dict.fromkeys(aba 0)),None of the above,{a: 0  b: 0},{a: 0},{a:0 b:0 a:0},{b:0},{a: 0  b: 0},{a: 0  b: 0} is correct based on how this feature behaves in Python.
50,What is the output of print(sum(i*i for i in range(5))),None of the above,25,10,30,Error,30,Squares 0 1 4 9 16 add up to 30.
51,What is the output of print(sum(i*i for i in range(3))),5,Error,4,None of the above,9,5,5 is correct based on how this feature behaves in Python.
52,What is the output of print(sum(i*i for i in range(3))),5,4,3,9,Error,5,5 is correct based on how this feature behaves in Python.
53,What does print(all([])) return,FALSE,0,None,None of the above,TRUE,TRUE,all of an empty iterable is True by definition vacuously true.
54,What is the output of print(sum(i*i for i in range(7))),21,91,Error,None of the above,36,91,91 is correct based on how this feature behaves in Python.
55,What is the output of print(sum(i*i for i in range(7))),91,None of the above,36,21,49,91,91 is correct based on how this feature behaves in Python.
56,What is the output of print(sum(i*i for i in range(4))),16,Error,14,None of the above,6,14,14 is correct based on how this feature behaves in Python.
57,What is the value of s=pythonista then print(s[0:4]),pyth,yth,None of the above,pythonista,pytho,pyth,pyth is correct based on how this feature behaves in Python.
58,What is the output of print(sum(i*i for i in range(5))),30,25,None of the above,10,16,30,Squares 0 1 4 9 16 add up to 30.
59,What is the value of s=pythonista then print(s[3:8]),honista,None of the above,onis,pythonis,honis,honis,honis is correct based on how this feature behaves in Python.
60,What is the output of print(sum(i*i for i in range(3))),9,5,None of the above,3,4,5,5 is correct based on how this feature behaves in Python.
61,What is the output of print(sum(i*i for i in range(7))),36,Error,21,91,None of the above,91,91 is correct based on how this feature behaves in Python.
62,What is the value of s=pythonista then print(s[3:5]),pytho,ho,None of the above,honista,o,ho,ho is correct based on how this feature behaves in Python.
63,What is the value of s=pythonista then print(s[0:2]),pyt,py,y,pythonista,None of the above,py,py is correct based on how this feature behaves in Python.
64,What is the output of print(sum(i*i for i in range(4))),16,Error,None of the above,9,14,14,14 is correct based on how this feature behaves in Python.
65,What is the output of print(sum(i*i for i in range(7))),49,None of the above,36,21,91,91,91 is correct based on how this feature behaves in Python.
66,What is printed by print(any([])),None,FALSE,None of the above,0,Error,FALSE,any of an empty iterable is False as there is no truthy element.
67,What is the output of print(sum(i*i for i in range(6))),36,55,25,None of the above,Error,55,55 is correct based on how this feature behaves in Python.
68,Which statement about list vs deque is accurate,deque provides faster appends and pops from both ends while list is fast at random access,None of the above,list has O1 inserts at the front,list is always faster than deque for all operations,deque supports O1 random indexing,deque provides faster appends and pops from both ends while list is fast at random access,deque shines at both ends push and pop while list is better at random indexing.
69,Which statement about decorators is accurate,A decorator always speeds up function execution,A decorator can only be applied to async functions,A decorator wraps a function to modify behavior without changing the function code,A decorator must be a class not a function,A decorator changes the function name at runtime in CPython,A decorator wraps a function to modify behavior without changing the function code,A decorator takes a function and returns a new callable that adds behavior around it.
70,What is the output of print(sum(i*i for i in range(3))),5,4,9,Error,None of the above,5,5 is correct based on how this feature behaves in Python.
71,What is the output of print(sum(i*i for i in range(7))),21,36,91,49,Error,91,91 is correct based on how this feature behaves in Python.
72,What is the output of print(sum(i*i for i in range(5))),25,None of the above,Error,10,30,30,Squares 0 1 4 9 16 add up to 30.
73,What is the value of s=pythonista then print(s[2:6]),hon,None of the above,thoni,python,thon,thon,thon is correct based on how this feature behaves in Python.
74,What is the output of print(sum(i*i for i in range(6))),25,55,15,Error,None of the above,55,55 is correct based on how this feature behaves in Python.
75,What is the output of print(sum(i*i for i in range(6))),36,55,None of the above,15,Error,55,55 is correct based on how this feature behaves in Python.
76,What does functools.lru_cache do,Caches function results keyed by arguments to avoid recomputation,Converts a function into a generator,Parallelizes the function across threads,Stores results only for keyword arguments,Validates argument types at runtime,Caches function results keyed by arguments to avoid recomputation,lru_cache remembers results for argument combinations so repeats are instant.
77,What is the output of print(sum(i*i for i in range(7))),49,Error,21,91,None of the above,91,91 is correct based on how this feature behaves in Python.
78,What is the value of s=pythonista then print(s[2:4]),None of the above,h,tho,pyth,th,th,th is correct based on how this feature behaves in Python.
79,What is the value of s=pythonista then print(s[0:3]),pyt,pythonista,pyth,yt,None of the above,pyt,pyt is correct based on how this feature behaves in Python.
80,What is the output of print(sum(i*i for i in range(4))),None of the above,Error,14,6,9,14,14 is correct based on how this feature behaves in Python.
81,Which statement about float NaN is correct,None of the above,NaN sorts to the beginning in all Python sorts,NaN is equal to 0 0 by default,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN compares greater than all numbers,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is special and never equals itself which is why equality tests fail.
82,What is the value of s=pythonista then print(s[3:5]),pytho,o,honista,ho,None of the above,ho,ho is correct based on how this feature behaves in Python.
83,What is the output of print(sum(i*i for i in range(6))),36,Error,55,None of the above,25,55,55 is correct based on how this feature behaves in Python.
84,Which statement about float NaN is correct,NaN sorts to the beginning in all Python sorts,NaN compares greater than all numbers,NaN is treated as None by min and max,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is equal to 0 0 by default,NaN is not equal to itself by IEEE rules so x == x is False for NaN,NaN is special and never equals itself which is why equality tests fail.
85,What is the output of print(sum(i*i for i in range(6))),25,55,Error,None of the above,15,55,55 is correct based on how this feature behaves in Python.
86,What is the output of print(sum(i*i for i in range(3))),None of the above,Error,5,4,3,5,5 is correct based on how this feature behaves in Python.
87,What is the value of s=pythonista then print(s[0:2]),y,None of the above,pythonista,pyt,py,py,py is correct based on how this feature behaves in Python.
88,What is the value of s=pythonista then print(s[1:6]),None of the above,thon,ython,ythonista,python,ython,ython is correct based on how this feature behaves in Python.
89,Which description of asyncio.gather is accurate,Blocks the event loop until all tasks finish via time sleep,Guarantees order of completion equals input order,Starts new processes for each task,Cancels all tasks on the first exception always,Runs multiple awaitables concurrently and aggregates their results,Runs multiple awaitables concurrently and aggregates their results,gather runs many coroutines at once and returns all results together.
90,What is the value of s=pythonista then print(s[0:4]),pytho,yth,None of the above,pythonista,pyth,pyth,pyth is correct based on how this feature behaves in Python.
91,What is the value of s=pythonista then print(s[0:2]),pyt,pythonista,y,None of the above,py,py,py is correct based on how this feature behaves in Python.
92,What is the output of print(sum(i*i for i in range(3))),Error,None of the above,5,3,9,5,5 is correct based on how this feature behaves in Python.
93,What is the value of s=pythonista then print(s[3:6]),honista,hon,None of the above,python,honi,hon,hon is correct based on how this feature behaves in Python.
94,What is the output of print(sum(i*i for i in range(5))),Error,10,16,30,25,30,Squares 0 1 4 9 16 add up to 30.
95,What is the value of s=pythonista then print(s[1:6]),ythonista,python,None of the above,ythoni,ython,ython,ython is correct based on how this feature behaves in Python.
96,What is the output of print(sum(i*i for i in range(4))),16,14,9,Error,6,14,14 is correct based on how this feature behaves in Python.
97,What is the output of print(sum(i*i for i in range(4))),14,6,None of the above,Error,9,14,14 is correct based on how this feature behaves in Python.
98,What is the value of s=pythonista then print(s[3:7]),honis,oni,None of the above,honi,honista,honi,honi is correct based on how this feature behaves in Python.
99,What is the value of s=pythonista then print(s[0:5]),pythonista,pytho,ytho,None of the above,python,pytho,pytho is correct based on how this feature behaves in Python.
100,What is the output of print(sum(i*i for i in range(7))),None of the above,Error,49,21,91,91,91 is correct based on how this feature behaves in Python.
101,What is the output of print(sum(i*i for i in range(6))),25,36,Error,15,55,55,55 is correct based on how this feature behaves in Python.
102,What is the output of print(sum(i*i for i in range(6))),55,None of the above,25,15,Error,55,55 is correct based on how this feature behaves in Python.
103,What is the output of print(sum(i*i for i in range(5))),None of the above,25,30,16,Error,30,Squares 0 1 4 9 16 add up to 30.
104,What is the output of print(sum(i*i for i in range(4))),None of the above,6,9,16,14,14,14 is correct based on how this feature behaves in Python.
105,What is output of print({}.setdefault(x [])),[x],{},[],None of the above,None,[],[] is correct based on how this feature behaves in Python.
106,What does print(all([])) return,TRUE,FALSE,None,None of the above,0,TRUE,all of an empty iterable is True by definition vacuously true.
107,What is the value of s=pythonista then print(s[1:5]),pytho,tho,None of the above,ythonista,ytho,ytho,ytho is correct based on how this feature behaves in Python.
108,What is the output of print(sum(i*i for i in range(7))),49,21,Error,None of the above,91,91,91 is correct based on how this feature behaves in Python.
109,What is the output of print(sum(i*i for i in range(5))),10,25,30,55,None of the above,30,Squares 0 1 4 9 16 add up to 30.
110,What is output of print(bool(object())),TRUE,None of the above,0,None,Error,TRUE,Any object instance is truthy so bool is True.
111,What is printed by print(any([])),0,Error,TRUE,FALSE,None of the above,FALSE,any of an empty iterable is False as there is no truthy element.
112,What is the value of s=pythonista then print(s[0:4]),pyth,pythonista,None of the above,yth,pytho,pyth,pyth is correct based on how this feature behaves in Python.
113,What is the output of print(sum(i*i for i in range(6))),36,None of the above,Error,55,15,55,55 is correct based on how this feature behaves in Python.
114,What is the value of s=pythonista then print(s[3:7]),honista,oni,None of the above,honi,pythoni,honi,honi is correct based on how this feature behaves in Python.
115,What is the value of s=pythonista then print(s[2:7]),honi,thonista,thonis,pythoni,thoni,thoni,thoni is correct based on how this feature behaves in Python.
116,What is structural pattern matching match case primarily used for,Pattern matching only works with strings,Destructuring and matching data shapes like sequences mappings and classes,Switching on integer constants only,Dynamic type casting at runtime,Replacing if else for arithmetic,Destructuring and matching data shapes like sequences mappings and classes,match case can unpack and test shapes of data not just values.
117,What is output of print({}.setdefault(x [])),None of the above,[x],{},[],KeyError,[],[] is correct based on how this feature behaves in Python.
118,What is the output of print(sum(i*i for i in range(5))),Error,25,30,16,None of the above,30,Squares 0 1 4 9 16 add up to 30.
119,What is the output of print(sum(i*i for i in range(4))),None of the above,6,16,9,14,14,14 is correct based on how this feature behaves in Python.
120,Which method makes an object usable in a with statement,__enter__ and __exit__,__init__ and __del__,__aenter__ and __aexit__ only,__get__ and __set__,__iter__ and __next__,__enter__ and __exit__,with calls __enter__ on enter and __exit__ on exit to handle setup and cleanup.
121,What is the output of print(sum(i*i for i in range(5))),10,25,30,16,Error,30,Squares 0 1 4 9 16 add up to 30.
122,What is the value of s=pythonista then print(s[1:3]),t,None of the above,yt,yth,pyt,yt,yt is correct based on how this feature behaves in Python.
123,What is the value of s=pythonista then print(s[3:6]),None of the above,python,honi,honista,hon,hon,hon is correct based on how this feature behaves in Python.
124,In typing what does Protocol represent,A metaclass for ABCs,A runtime enforced interface,A network protocol implementation,A final class that cannot be subclassed,A structural type based on method signatures rather than concrete inheritance,A structural type based on method signatures rather than concrete inheritance,Protocol checks that a type has the right methods regardless of its base classes.
125,What is printed by print(any([])),Error,0,None of the above,FALSE,None,FALSE,any of an empty iterable is False as there is no truthy element.
126,What is the value of s=pythonista then print(s[3:8]),onis,honist,honis,pythonis,None of the above,honis,honis is correct based on how this feature behaves in Python.
127,Which statement about __slots__ is correct,__slots__ speeds up all attribute access always,__slots__ makes a class immutable,__slots__ enables multiple inheritance without MRO,__slots__ is required for dataclasses,__slots__ can reduce memory by preventing instance dict creation,__slots__ can reduce memory by preventing instance dict creation,Slots remove the per instance dict so instances can be smaller.
128,What is the output of print(sum(i*i for i in range(4))),9,6,None of the above,Error,14,14,14 is correct based on how this feature behaves in Python.
129,What is the result of s=abba; print(s.replace(b bb 1)),abbba,abbaa,abba,abbbba,None of the above,abbba,replace with count 1 replaces only the first match so one b becomes bb.
130,What is the output of print(sum(i*i for i in range(4))),6,16,Error,14,None of the above,14,14 is correct based on how this feature behaves in Python.
131,What is the output of print(sum(i*i for i in range(3))),4,None of the above,5,9,3,5,5 is correct based on how this feature behaves in Python.
132,What does print(type(range(3)).__name__) output,tuple,iterator,list,generator,range,range,range objects have type name range.
133,What is the output of print(sum(i*i for i in range(3))),None of the above,5,4,3,9,5,5 is correct based on how this feature behaves in Python.
134,What is the output of print([i for i in range(3)] is [0 1 2]),None of the above,FALSE,0,[0 1 2],TRUE,FALSE,False is correct based on how this feature behaves in Python.
135,What is the value of s=pythonista then print(s[0:4]),pythonista,pyth,yth,pytho,None of the above,pyth,pyth is correct based on how this feature behaves in Python.
136,What is the value of s=pythonista then print(s[3:5]),ho,pytho,None of the above,hon,o,ho,ho is correct based on how this feature behaves in Python.
137,What is the output of print(sum(i*i for i in range(4))),16,6,None of the above,14,9,14,14 is correct based on how this feature behaves in Python.
138,What does bisect.insort do,Sorts a list in place using mergesort,Removes duplicates from a list,Inserts an item into a sorted list keeping it sorted,Builds a heap from a list,Performs a binary search returning an index only,Inserts an item into a sorted list keeping it sorted,insort inserts while keeping the list sorted using binary search.
139,What is the output of print(sum(i*i for i in range(5))),None of the above,Error,10,30,25,30,Squares 0 1 4 9 16 add up to 30.
140,What is the value of s=pythonista then print(s[0:5]),None of the above,python,pytho,ytho,pythonista,pytho,pytho is correct based on how this feature behaves in Python.
141,What is the output of print(sum(i*i for i in range(7))),91,Error,None of the above,36,49,91,91 is correct based on how this feature behaves in Python.
142,What is the value of s=pythonista then print(s[3:5]),hon,honista,None of the above,ho,pytho,ho,ho is correct based on how this feature behaves in Python.
143,What is the value of len(set(mississippi)),8,5,7,3,4,4,4 is correct based on how this feature behaves in Python.
144,What is the value of s=pythonista then print(s[2:7]),honi,thonista,pythoni,None of the above,thoni,thoni,thoni is correct based on how this feature behaves in Python.
145,What does print((1 2) < (1 3)) produce,FALSE,Error,None,None of the above,TRUE,TRUE,True is correct based on how this feature behaves in Python.
146,What is the value of s=pythonista then print(s[2:6]),thonista,thoni,thon,None of the above,hon,thon,thon is correct based on how this feature behaves in Python.
147,What is the value of s=pythonista then print(s[1:3]),ythonista,None of the above,yth,t,yt,yt,yt is correct based on how this feature behaves in Python.
148,What is the value of s=pythonista then print(s[3:5]),honista,hon,ho,None of the above,o,ho,ho is correct based on how this feature behaves in Python.
149,Which statement about list vs deque is accurate,deque supports O1 random indexing,list has O1 inserts at the front,deque cannot be iterated,list is always faster than deque for all operations,deque provides faster appends and pops from both ends while list is fast at random access,deque provides faster appends and pops from both ends while list is fast at random access,deque shines at both ends push and pop while list is better at random indexing.
150,What is the output of print({a:1}.get(b) is None),FALSE,0,KeyError,TRUE,None,TRUE,True is correct based on how this feature behaves in Python.
151,What is the output of print(sum(i*i for i in range(4))),Error,16,None of the above,9,14,14,14 is correct based on how this feature behaves in Python.
152,What is the value of len(set(mississippi)),8,7,4,None of the above,5,4,4 is correct based on how this feature behaves in Python.
153,What is the value of s=pythonista then print(s[0:3]),pyth,yt,pyt,pythonista,None of the above,pyt,pyt is correct based on how this feature behaves in Python.
154,What is the output of print(sum(i*i for i in range(5))),None of the above,30,10,25,Error,30,Squares 0 1 4 9 16 add up to 30.
155,Which best describes the Global Interpreter Lock GIL,It locks the entire operating system scheduler,It blocks C extensions from running in parallel,It disables asyncio,It prevents subprocesses from spawning,It allows only one thread to execute Python bytecode at a time per process,It allows only one thread to execute Python bytecode at a time per process,The GIL lets only one thread run Python bytecode at once inside a process.
156,What is the value of s=pythonista then print(s[2:4]),h,None of the above,tho,th,pyth,th,th is correct based on how this feature behaves in Python.
157,What is the value of s=pythonista then print(s[0:2]),py,None of the above,pyt,y,pythonista,py,py is correct based on how this feature behaves in Python.
158,What is the output of print(sum(i*i for i in range(5))),30,10,None of the above,16,Error,30,Squares 0 1 4 9 16 add up to 30.
159,What does the walrus operator do,None of the above,It assigns and returns a value inside an expression,It defines a lambda,It performs integer division,It creates a context manager,It assigns and returns a value inside an expression,Walrus operator lets you assign a value as part of an expression.
160,What is the output of print([i for i in range(3)] is [0 1 2]),None of the above,TRUE,Error,FALSE,[0 1 2],FALSE,False is correct based on how this feature behaves in Python.
161,What is the result of s=abba; print(s.replace(b bb 1)),None of the above,abba,abbba,abbbba,a bb a,abbba,replace with count 1 replaces only the first match so one b becomes bb.
162,What is the output of print(sum(i*i for i in range(5))),30,10,None of the above,14,55,30,Squares 0 1 4 9 16 add up to 30.
163,What is the value of s=pythonista then print(s[1:6]),None of the above,python,ythoni,ython,ythonista,ython,ython is correct based on how this feature behaves in Python.
164,What is the output of print(sum(i*i for i in range(6))),36,15,Error,55,25,55,55 is correct based on how this feature behaves in Python.
165,What is the output of print([i for i in range(3)] is [0 1 2]),None of the above,Error,[0 1 2],FALSE,0,FALSE,False is correct based on how this feature behaves in Python.
166,What is the output of print(sum(i*i for i in range(7))),36,None of the above,21,91,Error,91,91 is correct based on how this feature behaves in Python.
167,What is the output of print(sum(i*i for i in range(7))),91,49,36,None of the above,Error,91,91 is correct based on how this feature behaves in Python.
168,What is the output of print(sum(i*i for i in range(5))),30,25,16,Error,None of the above,30,Squares 0 1 4 9 16 add up to 30.
169,What is the value of s=pythonista then print(s[0:3]),pyt,None of the above,pyth,pythonista,yt,pyt,pyt is correct based on how this feature behaves in Python.
170,What is the value of s=pythonista then print(s[2:5]),ho,tho,pytho,thonista,None of the above,tho,tho is correct based on how this feature behaves in Python.
171,What is the output of print(sum(i*i for i in range(6))),55,Error,25,None of the above,36,55,55 is correct based on how this feature behaves in Python.
172,What does list({1: a  2: b}) evaluate to,[2 1],[1  2],None of the above,[a b],[(1 a) (2 b)],[1  2],[1  2] is correct based on how this feature behaves in Python.
173,What is the output of print(tuple(map(lambda x:x+1 (1 2)))),(2  3),None of the above,(2 3 4),(1 2 3),(1 3),(2  3),(2  3) is correct based on how this feature behaves in Python.
174,What is the value of s=pythonista then print(s[1:3]),yt,t,ythonista,yth,pyt,yt,yt is correct based on how this feature behaves in Python.
175,Which built in is most appropriate for a stable sort with a custom key,heapq.nsmallest for all elements,reversed then sort,sorted with the key parameter,list.sort without key,bisect.insort for unsorted lists,sorted with the key parameter,sorted with key keeps equal keys in input order and uses the key for comparisons.
176,What is the output of print(sum(i*i for i in range(6))),55,25,Error,36,None of the above,55,55 is correct based on how this feature behaves in Python.
177,What is the output of print(sum(i*i for i in range(3))),Error,5,3,4,9,5,5 is correct based on how this feature behaves in Python.
178,What is the value of s=pythonista then print(s[1:3]),pyt,None of the above,t,yth,yt,yt,yt is correct based on how this feature behaves in Python.
179,What is the value of s=pythonista then print(s[0:5]),python,pytho,ytho,pythonista,None of the above,pytho,pytho is correct based on how this feature behaves in Python.
180,What is the value of s=pythonista then print(s[0:5]),pythonista,ytho,None of the above,pytho,python,pytho,pytho is correct based on how this feature behaves in Python.
181,Which best describes the Global Interpreter Lock GIL,It prevents subprocesses from spawning,It blocks C extensions from running in parallel,It allows only one thread to execute Python bytecode at a time per process,It locks the entire operating system scheduler,It disables asyncio,It allows only one thread to execute Python bytecode at a time per process,The GIL lets only one thread run Python bytecode at once inside a process.
182,What is the output of print(sum(i*i for i in range(5))),None of the above,30,25,10,Error,30,Squares 0 1 4 9 16 add up to 30.
183,What is the value of s=pythonista then print(s[1:4]),pyth,yth,None of the above,ytho,ythonista,yth,yth is correct based on how this feature behaves in Python.
184,What is the value of len(set(mississippi)),8,4,3,5,7,4,4 is correct based on how this feature behaves in Python.
185,What is the value of s=pythonista then print(s[1:5]),ython,None of the above,ytho,ythonista,tho,ytho,ytho is correct based on how this feature behaves in Python.
186,What is the value of s=pythonista then print(s[3:8]),onis,honis,None of the above,honista,pythonis,honis,honis is correct based on how this feature behaves in Python.
187,What is the value of s=pythonista then print(s[3:8]),honist,onis,honis,pythonis,None of the above,honis,honis is correct based on how this feature behaves in Python.
188,What is the output of print(sum(i*i for i in range(7))),49,Error,91,21,None of the above,91,91 is correct based on how this feature behaves in Python.
189,What is the value of s=pythonista then print(s[3:6]),None of the above,on,hon,honi,python,hon,hon is correct based on how this feature behaves in Python.
190,What is the value of s=pythonista then print(s[1:6]),ython,python,None of the above,thon,ythoni,ython,ython is correct based on how this feature behaves in Python.
191,What is the output of print(sum(i*i for i in range(3))),None of the above,Error,4,3,5,5,5 is correct based on how this feature behaves in Python.
192,What is the output of print(sum(i*i for i in range(6))),15,None of the above,55,Error,36,55,55 is correct based on how this feature behaves in Python.
193,What is the value of s=pythonista then print(s[3:6]),honista,on,None of the above,honi,hon,hon,hon is correct based on how this feature behaves in Python.
194,What is the output of print(sum(i*i for i in range(5))),25,10,Error,None of the above,30,30,Squares 0 1 4 9 16 add up to 30.
195,Which built in is most appropriate for a stable sort with a custom key,list.sort without key,bisect.insort for unsorted lists,heapq.nsmallest for all elements,reversed then sort,sorted with the key parameter,sorted with the key parameter,sorted with key keeps equal keys in input order and uses the key for comparisons.
196,What does list({1: a  2: b}) evaluate to,[1  2],[a b],[2 1],None of the above,[(1 a) (2 b)],[1  2],[1  2] is correct based on how this feature behaves in Python.
197,Which statement about decorators is accurate,A decorator changes the function name at runtime in CPython,A decorator can only be applied to async functions,None of the above,A decorator must be a class not a function,A decorator wraps a function to modify behavior without changing the function code,A decorator wraps a function to modify behavior without changing the function code,A decorator takes a function and returns a new callable that adds behavior around it.
198,What is output of print(bool(object())),FALSE,None,TRUE,0,None of the above,TRUE,Any object instance is truthy so bool is True.
199,What does itertools.groupby require to group equal keys correctly,The values must be numbers,The input must be pre sorted by the same key function,None of the above,The key function must return unique values,The input must be a list not an iterator,The input must be pre sorted by the same key function,groupby only groups adjacent equal keys so you must sort first.
200,What is the value of s=pythonista then print(s[3:7]),honis,honista,pythoni,honi,None of the above,honi,honi is correct based on how this feature behaves in Python.
201,What is the value of s=pythonista then print(s[0:3]),pyth,None of the above,pyt,pythonista,yt,pyt,pyt is correct based on how this feature behaves in Python.
