Question ID,Question,Option A,Option B,Option C,Option D,Answer,Explanation
120,Which built-in checks if all elements are truthy?,all,bool,len,any,all,all is correct because it matches how this feature behaves in Python.
121,Which keyword is used to define a coroutine function?,async def,def coroutine,await def,co def,async def,async def defines a coroutine function that can be awaited.
122,What is the output of print(-1 * -2)?,-3,Error,1,2,2,"Multiplication of -1 and -2 gives 2, so 2 is right."
123,Which keyword is used to import a module?,require,use,module,import,import,import is correct because it matches how this feature behaves in Python.
124,What is the output of print(1 * -5)?,-6,-5,-4,6,-5,"Multiplication of 1 and -5 gives -5, so -5 is right."
125,What is the output of print(7 * -5)?,2,Error,-35,12,-35,"Multiplication of 7 and -5 gives -35, so -35 is right."
126,What is the output of print(-3 * -2)?,5,Error,6,7,6,"Multiplication of -3 and -2 gives 6, so 6 is right."
127,What is the output of print(6 * -7)?,-41,-1,13,-42,-42,"Multiplication of 6 and -7 gives -42, so -42 is right."
128,"What is 'abc'.replace('b','x')?",abc,axc,xbc,abx,axc,"String methods return new strings without changing the original, and this method does exactly what its name says."
129,Which function returns the absolute value?,mag,abs,norm,fabs,abs,"abs returns the magnitude of a number, dropping any sign."
130,What is the output of print(2 * 1)?,3,2,Error,1,2,"Multiplication of 2 and 1 gives 2, so 2 is right."
131,"What is sorted([3,1,2])?","[3,2,1]","{1,2,3}","[1, 2, 3]","(1,2,3)","[1, 2, 3]","sorted creates and returns a new sorted list, leaving the original alone."
132,What is the output of print(9 * 1)?,8,9,Error,10,9,"Multiplication of 9 and 1 gives 9, so 9 is right."
133,What is the output of print(3 * 1)?,4,2,3,Error,3,"Multiplication of 3 and 1 gives 3, so 3 is right."
134,What is the output of print(-4 * -4)?,16,17,Error,15,16,"Multiplication of -4 and -4 gives 16, so 16 is right."
135,Which keyword is used to create an anonymous function?,inline,func,lambda,def,lambda,lambda is correct because it matches how this feature behaves in Python.
136,What is the output of print(8 * 9)?,-1,71,72,73,72,"Multiplication of 8 and 9 gives 72, so 72 is right."
137,What is the output of print(5 * 1)?,4,Error,5,6,5,"Multiplication of 5 and 1 gives 5, so 5 is right."
138,What is the output of print(0 * -7)?,0,-7,-1,Error,0,"Multiplication of 0 and -7 gives 0, so 0 is right."
139,What is the output of print(-7 * 6)?,-42,-43,-13,-1,-42,"Multiplication of -7 and 6 gives -42, so -42 is right."
140,What is the output of print(1 * -3)?,Error,4,-3,-4,-3,"Multiplication of 1 and -3 gives -3, so -3 is right."
141,Which built-in converts a string to an integer?,ord,int,float,str,int,int is correct because it matches how this feature behaves in Python.
142,What is the output of print(9 * -3)?,Error,12,6,-27,-27,"Multiplication of 9 and -3 gives -27, so -27 is right."
143,Which keyword is used to import a module?,require,use,None,import,import,import is correct because it matches how this feature behaves in Python.
144,What is the output of print(-1 * 1)?,Error,0,-1,-2,-1,"Multiplication of -1 and 1 gives -1, so -1 is right."
145,What is the output of print(-2 * -5)?,10,-7,3,9,10,"Multiplication of -2 and -5 gives 10, so 10 is right."
146,What is the output of print(-8 * -4)?,Error,31,32,-4,32,"Multiplication of -8 and -4 gives 32, so 32 is right."
147,What is the output of print(8 * 2)?,Error,15,6,16,16,"Multiplication of 8 and 2 gives 16, so 16 is right."
148,Which built-in checks if all elements are truthy?,sum,len,all,any,all,all is correct because it matches how this feature behaves in Python.
149,What is the output of print(7 * -6)?,-43,-42,1,13,-42,"Multiplication of 7 and -6 gives -42, so -42 is right."
150,Which decorator creates read-only attributes in dataclasses?,@readonly,@dataclass(frozen=True),@final,@frozen,@dataclass(frozen=True),@dataclass(frozen=True) is correct because it matches how this feature behaves in Python.
151,What is the output of print(8 * 9)?,73,Error,71,72,72,"Multiplication of 8 and 9 gives 72, so 72 is right."
152,What is 'python'[1:4]?,tho,pyt,yon,yth,yth,Slicing from index 1 up to 4 takes the middle chunk yth.
153,Which module offers precise decimal arithmetic?,math,fractions,numbers,decimal,decimal,"decimal handles base-10 decimals precisely, avoiding common binary float surprises."
154,"What is list(map(lambda x:x+1,[1,2]))?","[1,2]","(2,3)","[3,4]","[2, 3]","[2, 3]","[2, 3] is correct because it matches how this feature behaves in Python."
155,What is sum(range(4))?,6,3,10,7,6,6 is correct because it matches how this feature behaves in Python.
156,What is the output of print(8 * 8)?,64,63,16,Error,64,"Multiplication of 8 and 8 gives 64, so 64 is right."
157,What is the output of print(7 * -2)?,-13,5,-14,-15,-14,"Multiplication of 7 and -2 gives -14, so -14 is right."
158,What is {'a':1}.keys().__class__.__name__?,set,dict_keys,list,view,dict_keys,dict_keys is correct because it matches how this feature behaves in Python.
159,What is bool([0])?,TRUE,None,FALSE,Error,TRUE,"Non-empty lists are truthy, even if they contain zero; so this is True."
160,What is 5//2?,2,3,2.5,2,2,"The // operator is floor division, which drops the fractional part toward negative infinity."
161,Which operator tests object identity?,==,is,in,id,is,"is checks whether two names reference the same object, not just equal values."
162,What is the output of print(-4 * -6)?,24,Error,25,2,24,"Multiplication of -4 and -6 gives 24, so 24 is right."
163,What is the output of print(-7 * -6)?,42,Error,-13,-1,42,"Multiplication of -7 and -6 gives 42, so 42 is right."
164,Which decorator creates read-only attributes in dataclasses?,@sealed,@dataclass(frozen=True),@final,@readonly,@dataclass(frozen=True),@dataclass(frozen=True) is correct because it matches how this feature behaves in Python.
165,What is tuple('ab')?,('ab'),('a';'b'),"('a', 'b')","['a','b']","('a', 'b')","('a', 'b') is correct because it matches how this feature behaves in Python."
166,What is the output of print(1 * 6)?,-5,6,7,5,6,"Multiplication of 1 and 6 gives 6, so 6 is right."
167,What is the output of print(1 * -1)?,2,-1,0,Error,-1,"Multiplication of 1 and -1 gives -1, so -1 is right."
168,What is the output of print(5 * -4)?,-20,Error,9,1,-20,"Multiplication of 5 and -4 gives -20, so -20 is right."
169,What is the output of print(4 * 7)?,11,28,27,Error,28,"Multiplication of 4 and 7 gives 28, so 28 is right."
170,What is the output of print(8 * -5)?,3,-40,-41,-39,-40,"Multiplication of 8 and -5 gives -40, so -40 is right."
171,What is the output of print(2 * -2)?,0,-4,4,Error,-4,"Multiplication of 2 and -2 gives -4, so -4 is right."
172,What is 'mississippi'.count('ss')?,TRUE,0,3,2,2,2 is correct because it matches how this feature behaves in Python.
173,What is the output of print(0 * 3)?,-3,3,0,1,0,"Multiplication of 0 and 3 gives 0, so 0 is right."
174,Which module is recommended for cryptographic randomness?,hashlib,random,secrets,uuid,secrets,secrets provides strong random values designed for security sensitive tasks.
175,What is the output of print(-2 * 3)?,-7,Error,-6,-5,-6,"Multiplication of -2 and 3 gives -6, so -6 is right."
176,What is the output of print(-3 * -8)?,-11,5,24,23,24,"Multiplication of -3 and -8 gives 24, so 24 is right."
177,What is the output of print(-8 * 4)?,-32,-4,-12,-31,-32,"Multiplication of -8 and 4 gives -32, so -32 is right."
178,"What is isinstance(True,int)?",None,TRUE,FALSE,TypeError,TRUE,"This follows Python’s rules for that operation, so this truth value is the expected outcome."
179,What does PEP stand for?,Python Enhancement Proposal,Proposal for Enhanced Python,Python Engineering Plan,Programming Enhancement Proposal,Python Enhancement Proposal,"PEP means Python Enhancement Proposal, which documents ideas and changes to the language."
180,What is the output of print(9 * 5)?,Error,44,14,45,45,"Multiplication of 9 and 5 gives 45, so 45 is right."
181,What is type(range(3)).__name__?,iterator,list,range,TRUE,range,range objects have their own type in Python and generate sequences lazily.
182,What is the output of print(2 * -6)?,8,-11,Error,-12,-12,"Multiplication of 2 and -6 gives -12, so -12 is right."
183,What does [0]*3 produce?,"[0, 0, 0]","(0,0,0)","[0,3]","[0,0,0,0]","[0, 0, 0]","Multiplying a list by 3 repeats its elements three times, giving three zeros."
184,What is 'python'[::-1]?,py,pnohty,nohtyp,python,nohtyp,"Slicing with step -1 reverses the sequence, so you get the string backwards."
185,Which exception is raised for an out-of-range list index?,ValueError,LookupError,TypeError,IndexError,IndexError,Accessing a list with an invalid index raises IndexError.
186,What is the output of print(-4 * 0)?,-4,-1,Error,0,0,"Multiplication of -4 and 0 gives 0, so 0 is right."
187,"What is {1,2,3} - {2}?",{2},"{1,2}","{1, 3}","{2,3}","{1, 3}",Set difference removes elements from the left set that appear on the right.
188,Which keyword is used to define a coroutine function?,async def,def coroutine,def async,await def,async def,async def defines a coroutine function that can be awaited.
189,What is the output of print(-8 * 5)?,-3,-13,-39,-40,-40,"Multiplication of -8 and 5 gives -40, so -40 is right."
190,Which method adds a single element to a list?,append,push,extend,add,append,append is correct because it matches how this feature behaves in Python.
191,What is the output of print(2 * -7)?,-13,-14,Error,9,-14,"Multiplication of 2 and -7 gives -14, so -14 is right."
192,What is the output of print(3 * -6)?,-18,-19,-3,Error,-18,"Multiplication of 3 and -6 gives -18, so -18 is right."
193,What is the output of print(-2 * 4)?,-6,-8,Error,2,-8,"Multiplication of -2 and 4 gives -8, so -8 is right."
194,What is the output of print(0 * -1)?,-1,Error,0,1,0,"Multiplication of 0 and -1 gives 0, so 0 is right."
195,What is the output of print(-7 * 5)?,Error,-2,-35,-34,-35,"Multiplication of -7 and 5 gives -35, so -35 is right."
196,What is the output of print(-5 * -6)?,Error,1,30,31,30,"Multiplication of -5 and -6 gives 30, so 30 is right."
197,What is the output of print(7 * -5)?,-35,Error,2,12,-35,"Multiplication of 7 and -5 gives -35, so -35 is right."
198,What is the output of print(-1 * 2)?,1,-1,-3,-2,-2,"Multiplication of -1 and 2 gives -2, so -2 is right."
199,What is the output of print(-1 * 6)?,5,-6,-7,-5,-6,"Multiplication of -1 and 6 gives -6, so -6 is right."
200,What is the output of print(1 * -9)?,Error,-9,-8,-10,-9,"Multiplication of 1 and -9 gives -9, so -9 is right."
201,Which keyword annotates variables with types?,as,:,type,{},:,: is correct because it matches how this feature behaves in Python.
202,What is sum(i*i for i in range(4))?,13,16,12,14,14,14 is correct because it matches how this feature behaves in Python.
203,What is the output of print(-8 * 2)?,-6,-16,-15,-17,-16,"Multiplication of -8 and 2 gives -16, so -16 is right."
204,What is the output of print(-8 * 7)?,Error,-1,-56,-55,-56,"Multiplication of -8 and 7 gives -56, so -56 is right."
205,Which module helps parse command-line arguments?,argparse,shlex,getopt,click,argparse,argparse parses command-line arguments and automatically builds help messages.
206,What is the output of print(-2 * 3)?,-5,1,-6,Error,-6,"Multiplication of -2 and 3 gives -6, so -6 is right."
207,What is the output of print(6 * -1)?,-6,7,Error,-7,-6,"Multiplication of 6 and -1 gives -6, so -6 is right."
208,What is the output of print(8 * 2)?,16,15,17,6,16,"Multiplication of 8 and 2 gives 16, so 16 is right."
209,What is the output of print(-6 * -4)?,-10,Error,24,-2,24,"Multiplication of -6 and -4 gives 24, so 24 is right."
210,What is the output of print(6 * -7)?,-41,-42,-1,13,-42,"Multiplication of 6 and -7 gives -42, so -42 is right."
211,What is the output of print(8 * 6)?,49,14,48,47,48,"Multiplication of 8 and 6 gives 48, so 48 is right."
212,What is the output of print(-5 * -5)?,25,26,-10,0,25,"Multiplication of -5 and -5 gives 25, so 25 is right."
213,"What is list(zip([1,2,3],[4,5])) length?",0,5,2,3,2,"zip stops at the shortest input, so the length matches the smaller list."
214,What does bool('') return?,FALSE,(),TRUE,None,FALSE,"Empty strings are falsy in Python, so bool of an empty string is False."
215,What is the output of print(-4 * 7)?,-29,3,-28,-27,-28,"Multiplication of -4 and 7 gives -28, so -28 is right."
216,What is the output of print(2 * 3)?,Error,6,7,5,6,"Multiplication of 2 and 3 gives 6, so 6 is right."
217,Which operator performs floor division?,^^,/,//,**,//,// is correct because it matches how this feature behaves in Python.
218,Which keyword declares a class method?,@overload,@classmethod,@abstractmethod,@staticmethod,@classmethod,@classmethod is correct because it matches how this feature behaves in Python.
219,What is the output of print(1 * -9)?,-8,Error,-10,-9,-9,"Multiplication of 1 and -9 gives -9, so -9 is right."
220,What is the output of print(5 * 4)?,21,Error,20,19,20,"Multiplication of 5 and 4 gives 20, so 20 is right."
221,What is the output of print(-1 * -7)?,Error,-8,7,6,7,"Multiplication of -1 and -7 gives 7, so 7 is right."
222,What is the output of print(-1 * -5)?,-6,Error,5,6,5,"Multiplication of -1 and -5 gives 5, so 5 is right."
223,What is the output of print(-7 * 2)?,-14,-13,-15,-9,-14,"Multiplication of -7 and 2 gives -14, so -14 is right."
224,What is the output of print(-5 * -7)?,34,35,2,-12,35,"Multiplication of -5 and -7 gives 35, so 35 is right."
225,"What is {1,2} | {2,3}?","{1,2}","{2,3}","{1, 2, 3}",{2},"{1, 2, 3}",Set union combines unique elements from both sets.
226,Which collection does not allow duplicate elements?,set,deque,tuple,dict,set,"Sets keep unique elements only, so duplicates collapse to one."
227,What is the output of print(-6 * 8)?,-14,-48,-47,2,-48,"Multiplication of -6 and 8 gives -48, so -48 is right."
228,Which exception is raised for an out-of-range list index?,IndexError,TypeError,LookupError,KeyError,IndexError,Accessing a list with an invalid index raises IndexError.
229,What is the output of print(1 * -7)?,8,-7,-8,-6,-7,"Multiplication of 1 and -7 gives -7, so -7 is right."
230,What is the output of print(7 * 0)?,1,Error,7,0,0,"Multiplication of 7 and 0 gives 0, so 0 is right."
231,"What is {1,2,3} - {2}?","{1,2,3}","{1,2}",{2},"{1, 3}","{1, 3}",Set difference removes elements from the left set that appear on the right.
232,Which statement ensures cleanup for context managers?,0,with,using,context,with,"with ensures files are closed even if errors happen, which is why it is used for cleanup."
233,What is the output of print(-8 * -5)?,39,40,-13,Error,40,"Multiplication of -8 and -5 gives 40, so 40 is right."
234,What is the output of print(5 * -7)?,-2,-34,-35,12,-35,"Multiplication of 5 and -7 gives -35, so -35 is right."
235,"What is 'abc'.replace('b','x')?",axc,abc,xbc,ac,axc,"String methods return new strings without changing the original, and this method does exactly what its name says."
236,"What is sorted([3,1,2])?","[1, 2, 3]","[3,2,1]",Error,"[1,3,2]","[1, 2, 3]","sorted creates and returns a new sorted list, leaving the original alone."
237,What is the output of print(-6 * 5)?,-11,-30,-1,-31,-30,"Multiplication of -6 and 5 gives -30, so -30 is right."
238,What is ''.strip()?,'' '',' ',,None,,nan is correct because it matches how this feature behaves in Python.
